ingredient,unit,quantity,price
gluten-free bread,unit,1.2,
gluten-free pasta,kg,0.48,
flour,kg,0.48,
bread loaf,unit,4.8,
baguettes,unit,12.0,
granola,kg,2.4,
mixed nuts,kg,1.2,
pasta,kg,2.4,
oatmeal,kg,0.72,
brioche,unit,3.6,
wraps,unit,19.2,
rice cakes pack,unit,3.6,
avocado,kg,2.4,
peach,kg,4.8,
bananas,kg,12.0,
melon,unit,1.5,
watermelon,unit,0.75,
nectarines,kg,7.2,
fresh peppers,unit,19.2,
cucumber,unit,19.2,
red onion,unit,4.8,
spring onion,unit,24.0,
tomato,unit,24.0,
kaki,kg,9.6,
zucchini,kg,6.0,
potato,kg,4.8,
yoghurt,l,3.6,
plant-based yoghurt,l,1.92,
plant-based milk,l,4.8,
milk,l,4.8,
eggs,unit,48.0,
hummus,kg,4.8,
cheese,kg,2.4,
packs bacon,unit,6.0,
chickpeas canned,kg,2.4,
canned lentils,kg,1.5,
coffee,kg,0.72,
tea bags,unit,96.0,
sparkling water,l,14.4,
orange juice,l,14.4,
peach juice,l,7.2,
aquarius limon,l,4.8,
pesto jars,unit,2.4,
peanut butter,kg,0.72,
butter,kg,1.2,
nutella,kg,1.2,
jam,kg,0.48,
vegan nutella,unit,1.5,
sriracha mayo,unit,1.5,
chili oil,unit,0.48,
lemon juice bottled,unit,1.5,
lime juice bottled,unit,1.5,
box onion fried,unit,1.5,
milk coconut can,unit,4.8,
pasta sauce,l,0.72,
olive oil,l,4.8,
cinnamon,tsp,31.2,
garlic head,unit,12.0,
potato chips bag,unit,4.8,

