ingredient,unit,quantity,price
white cabbage,unit,5.833333333333333,
celery stalks,unit,23.333333333333332,
dried cranberries,kg,0.8166666666666668,
sunflower seeds,kg,0.8166666666666668,
walnuts,kg,0.8166666666666668,
canola oil,tbsp,17.5,
lemon,unit,5.833333333333333,
date honey,tbsp,17.5,
gluten-free soy sauce,tbsp,11.666666666666666,
sesame seeds,tbsp,23.333333333333332,
basamati rice,kg,2.8,
dry red lentils,kg,2.8,
tumeric,tsp,21.0,
olive oil,l,0.21000000000000002,
cumin seeds,tsp,21.0,
onion,unit,14.0,
garlic clove,unit,28.0,
ginger,tbsp,7.0,
tomato,unit,35.0,
garam masala,tsp,14.0,

